what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1424276020552
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1424276022944
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1424276026934
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424276028954
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424276030172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276034852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276041668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1424276043564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424276044070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424276046477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424276053442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276056632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276058524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276058549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276059975
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1424276059982
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1424276063023
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1424276063069
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424276067010
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1424276067010
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1424276068151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276069412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276070750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276073367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424276082564
